workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
decode_b4,61,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,62,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,63,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,64,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,65,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,66,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,67,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,68,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,69,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,70,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,71,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,72,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,73,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,74,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,75,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,76,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,77,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,78,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,79,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,80,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,81,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,82,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,83,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,84,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,85,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,86,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,87,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,88,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,89,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,90,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,91,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,92,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,93,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,94,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,95,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,96,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,97,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,98,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,99,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,100,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,101,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,102,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,103,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,104,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,105,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,106,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,107,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,108,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,109,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,110,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,111,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,112,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,113,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,114,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,115,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,116,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,117,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,118,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,119,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,120,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,121,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,122,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,123,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,124,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,125,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,126,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,127,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,128,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,129,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,130,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,131,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,132,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,133,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,134,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,135,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,136,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,137,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,138,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,139,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,140,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,141,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,142,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,143,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,144,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,145,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,146,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,147,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,148,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,149,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,150,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,151,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,152,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,153,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,154,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,155,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,156,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,157,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,158,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,159,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,160,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,161,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,162,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,163,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,164,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,165,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,166,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,167,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,168,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,169,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,170,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,171,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,172,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,173,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,174,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,175,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,176,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,177,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,178,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,179,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,180,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,181,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,182,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,183,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,184,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,185,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,186,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,187,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,188,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,189,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,190,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,191,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,192,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,193,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,194,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,195,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,196,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,197,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,198,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,199,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,200,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,201,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,202,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,203,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,204,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,205,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,206,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,207,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
